firm_name,aum_tier,focus
KKR,Mega,Generalist
Blackstone,Mega,Generalist
Apollo Global Management,Mega,Generalist
Carlyle Group,Mega,Generalist
Brookfield Asset Management,Mega,Real Assets
Goldman Sachs Asset Management,Mega,Generalist
DigitalBridge Group,Mega,Technology
Warburg Pincus,Large,Generalist
TPG Capital,Large,Generalist
Bain Capital,Large,Generalist
Advent International,Large,Generalist
General Atlantic,Large,Growth
Insight Partners,Large,Growth
Silver Lake,Large,Technology
Vista Equity Partners,Large,Technology
Thoma Bravo,Large,Technology
Hg,Large,Technology
Veritas Capital,Large,Technology
KPS Capital Partners,Large,Industrials
H.I.G. Capital,Large,Generalist
L Catterton,Large,Consumer
Thomas H. Lee Partners,Large,Generalist
TSG Consumer Partners,Large,Consumer
Morgan Stanley Capital Partners,Large,Generalist
Permira,Large,Generalist
CVC Capital Partners,Large,Generalist
EQT Partners,Large,Generalist
Apax Partners,Large,Generalist
Ardian,Large,Generalist
HarbourVest Partners,Large,Fund of Funds
Partners Group,Large,Generalist
Neuberger Berman,Large,Generalist
Ares Management,Large,Credit/Generalist
Oaktree Capital,Large,Credit
Cerberus Capital Management,Large,Generalist
Centerbridge Partners,Large,Credit/Generalist
Hellman & Friedman,Large,Generalist
OMERS Private Equity,Large,Generalist
Bessemer Venture Partners,Large,Growth
Andreessen Horowitz,Large,Growth
Clayton Dubilier & Rice,Large,Generalist
Abry Partners,Large,Generalist
Adams Street Partners,Large,Fund of Funds
Alpha Wave Global,Large,Technology
Altaris,Large,Healthcare
American Industrial Partners,Large,Industrials
AMG Wealth,Large,Generalist
Arlington Capital Partners,Large,Technology
Arctos Partners,Large,Consumer
Atlas Holdings,Large,Industrials
Audax Private Equity,Large,Generalist
Avenue Capital Group,Large,Credit
B. Riley Financial,Large,Financial Services
Bayside Capital,Large,Credit
Berkshire Partners,Large,Generalist
Blackstone Life Sciences,Large,Healthcare
Brandywine Managers,Large,Fund of Funds
Brighton Jones Investment Partners,Large,Generalist
Brown Brothers Harriman Capital Partners,Large,Fund of Funds
Cercano Management,Large,Generalist
CF Private Equity,Large,Fund of Funds
Charlesbank Capital Partners,Large,Generalist
Clearlake Capital Group,Large,Technology
Coatue Management,Large,Technology
Comvest Private Equity,Large,Credit
Dragoneer Investment Group,Large,Technology
Eldridge Industries,Large,Generalist
EnCap Investments,Large,Energy
Energy Capital Partners,Large,Energy
Great Hill Partners,Large,Technology
3G Capital,Large,Consumer
BC Partners,Mid,Generalist
Cinven,Mid,Generalist
PAI Partners,Mid,Generalist
Bridgepoint,Mid,Generalist
Francisco Partners,Mid,Technology
Symphony Technology Group,Mid,Technology
STG,Mid,Technology
Accel-KKR,Mid,Technology
Alpine Investors,Mid,Technology
GI Partners,Mid,Technology
Serent Capital,Mid,Technology
Siris Capital Group,Mid,Technology
Bregal Sagemount,Mid,Technology
American Securities,Mid,Generalist
GTCR,Mid,Generalist
Leonard Green & Partners,Mid,Generalist
Madison Dearborn Partners,Mid,Generalist
New Mountain Capital,Mid,Generalist
Oak Hill Capital,Mid,Generalist
Platinum Equity,Mid,Generalist
Sun Capital Partners,Mid,Generalist
Kelso & Company,Mid,Generalist
Harvest Partners,Mid,Generalist
TowerBrook Capital Partners,Mid,Generalist
MidOcean Partners,Mid,Consumer
Lone Star Funds,Large,Real Estate/Credit
Roark Capital Group,Mid,Consumer
KSL Capital Partners,Mid,Consumer
Shamrock Capital,Mid,Consumer
Arsenal Capital Partners,Mid,Healthcare
Linden Capital Partners,Mid,Healthcare
Welsh Carson Anderson & Stowe,Mid,Healthcare
AEA Investors,Mid,Generalist
Aquiline Capital Partners,Mid,Financial Services
Arcline Investment Management,Mid,Industrials
One Rock Capital Partners,Mid,Industrials
SK Capital Partners,Mid,Industrials
Stellex Capital Management,Mid,Industrials
SVPGlobal,Mid,Credit
Arena Investors,Mid,Credit
Tailwind Capital,Mid,Generalist
50T,Mid,Generalist
A&M Capital,Mid,Generalist
Access Holdings,Mid,Generalist
ACON Investments,Mid,Generalist
AE Industrial Partners,Mid,Industrials
Altamont Capital Partners,Mid,Consumer
Ampersand Capital Partners,Mid,Healthcare
Amulet Capital Partners,Mid,Generalist
Antarctica Capital,Mid,Technology
Ara Partners,Mid,Industrials
Arbor Investments,Mid,Consumer
ArcLight Capital Partners,Mid,Energy
Argonaut Private Equity,Mid,Generalist
Atairos,Mid,Consumer
Aurora Capital Partners,Mid,Generalist
Avenir Growth Capital,Mid,Technology
Avesi Partners,Mid,Generalist
Avista Healthcare Partners,Mid,Healthcare
Bain Capital Insurance,Mid,Financial Services
Banneker Partners,Mid,Technology
Bansk Group,Mid,Consumer
Bertram Capital,Mid,Technology
BharCap Partners,Mid,Technology
Blue Road Capital,Mid,Generalist
Blue Wolf Capital Partners,Mid,Industrials
Bonaccord Capital Partners,Mid,Generalist
Bow River Capital,Mid,Technology
Brentwood Associates,Mid,Consumer
Brighton Park Capital,Mid,Healthcare
Brightstar Capital Partners,Mid,Generalist
Brynwood Partners,Mid,Consumer
Butterfly Equity,Mid,Consumer
BV Investment Partners,Mid,Technology
Calera Capital,Mid,Generalist
Catterton Partners,Mid,Consumer
CCMP Capital Advisors,Mid,Generalist
CenterOak Partners,Mid,Generalist
Centre Lane Partners,Mid,Credit
Certares,Mid,Consumer
Chicago Pacific Founders,Mid,Healthcare
CIVC Partners,Mid,Technology
Clearview Capital,Mid,Generalist
Coalesce Capital,Small,Generalist
Cogenuity Partners,Mid,Generalist
Compass Diversified,Mid,Generalist
Concentric Equity Partners,Mid,Technology
Consonance Capital,Mid,Healthcare
Constellation Wealth Capital,Mid,Generalist
Constitution Capital Partners,Mid,Fund of Funds
CORE Industrial Partners,Mid,Industrials
Cormorant Asset Management,Mid,Healthcare
Cornell Capital,Mid,Consumer
Corsair Capital,Mid,Financial Services
Cortec Group,Mid,Consumer
Court Square,Mid,Generalist
Cove Hill Partners,Mid,Consumer
Cressey & Company,Mid,Healthcare
Crestview Partners,Mid,Generalist
Crosspoint Capital Partners,Mid,Technology
Declaration Partners,Mid,Generalist
DFW Capital Partners,Mid,Generalist
Diversis Capital,Mid,Technology
EagleTree Capital,Mid,Consumer
Edison Partners,Mid,Technology
EIV Capital,Mid,Energy
Endeavour Capital,Mid,Generalist
Enlightenment Capital,Mid,Technology
Ethos Capital,Mid,Technology
EW Healthcare Partners,Mid,Healthcare
Excellere Partners,Mid,Healthcare
Trinity Hunt Partners,Small,Generalist
Gemspring Capital,Small,Generalist
Gridiron Capital,Small,Generalist
New State Capital Partners,Small,Generalist
Pacific Lake Partners,Small,Generalist
Palladium Equity Partners,Small,Generalist
SkyKnight Capital,Small,Generalist
Unity Partners,Small,Generalist
Clearhaven Partners,Small,Technology
BayPine,Mid,Technology
Stride Consumer Partners,Small,Consumer
Monomoy Capital Partners,Small,Industrials
Tenex Capital Management,Small,Industrials
HealtheEdge Investment Partners,Small,Healthcare
HealthQuest Capital,Small,Healthcare
1315 Capital,Small,Healthcare
22C Capital,Small,Technology
7RIDGE,Small,Technology
AGR Partners,Small,Industrials
AHP,Small,Healthcare
Aldrich Capital Partners,Small,Technology
